a,Y,rho,dF
2.45,0.4609992324739917,0.08922970637520547,-0.4510128776502586
2.4525,0.46118662743180056,0.08932884126488856,-0.4501480332486096
2.455,0.4613745964949842,0.08942833912775561,-0.4492814665024713
2.4575,0.46156314339799864,0.08952820247313001,-0.44841316773347456
2.46,0.46175227191332624,0.08962843383661759,-0.4475431272438212
2.4625000000000004,0.4619419858520009,0.08972903578047657,-0.44667133518028196
2.4650000000000003,0.4621322890641502,0.08983001089399789,-0.44579778164799405
2.4675000000000002,0.4623231854395465,0.0899313617938921,-0.44492245661886803
2.47,0.46251467890665376,0.09003309112387886,-0.44404537155595664
2.4725,0.4627067734157415,0.09013520154580293,-0.44316653980969173
2.475,0.46289947297104944,0.09023769575681595,-0.44228590642125803
2.4775,0.46309278162691675,0.09034057648743668,-0.44140346101284583
2.48,0.4632867034791013,0.09044384649704248,-0.4405191930567653
2.4825000000000004,0.46348124266678975,0.09054750857504311,-0.439633091972591
2.4850000000000003,0.4636764033729427,0.09065156554117125,-0.4387451470466707
2.4875000000000003,0.46387218982492867,0.09075602024592874,-0.43785534747098337
2.49,0.4640686062951719,0.09086087557104204,-0.43696368231538324
2.4925,0.4642656571018144,0.09096613442992783,-0.43607014058588683
2.495,0.46446334660937805,0.0910717997681603,-0.43517471111087497
2.4975,0.4646616792294604,0.091177874563959,-0.4342773826576662
2.5,0.46486065942142585,0.09128436182867654,-0.43337814387423007
2.5025000000000004,0.4650602916931153,0.09139126460729814,-0.4324769832697583
2.5050000000000003,0.46526058060157044,0.09149858597895168,-0.43157388927017587
2.5075000000000003,0.465461530753773,0.09160632905742816,-0.4306688501459765
2.5100000000000002,0.4656631468073932,0.09171449699170937,-0.4297618540843872
2.5125,0.4658654334715576,0.09182309296650874,-0.4288528891449594
2.515,0.4660683955076292,0.09193212020282093,-0.42794194322071094
2.5175,0.4662720377300032,0.0920415819584832,-0.4270290041491486
2.52,0.4664763650069195,0.09215148152874755,-0.4261140595984702
2.5225,0.466681382261288,0.09226182224686326,-0.4251970971008711
2.5250000000000004,0.46688709447153254,0.09237260748467185,-0.4242781040886267
2.5275000000000003,0.4670935066724523,0.09248384065321451,-0.42335706784413224
2.5300000000000002,0.46730062395609995,0.09259552520335138,-0.4224339755110051
2.5325,0.4675084514726663,0.09270766462638737,-0.42150881410796254
2.535,0.4677169944314069,0.09282026245472383,-0.42058157051771955
2.5375,0.46792625810156474,0.0929333222625111,-0.4196522314647843
2.54,0.46813624781332014,0.09304684766631893,-0.4187207835487649
2.5425,0.46834696895875977,0.09316084232582077,-0.4177872132221649
2.5450000000000004,0.4685584269928653,0.09327530994449183,-0.41685150677095434
2.5475000000000003,0.46877062743452086,0.09339025427032085,-0.41591365037008104
2.5500000000000003,0.468983575867543,0.09350567909653766,-0.41497362999465265
2.5525,0.46919727794172966,0.09362158826235445,-0.4140314315087545
2.555,0.469411739373933,0.09373798565372396,-0.41308704060438733
2.5575,0.4696269659491534,0.09385487520411272,-0.41214044280979406
2.56,0.4698429635216555,0.09397226089529025,-0.41119162349501076
2.5625,0.4700597380161101,0.09409014675813616,-0.41024056786631563
2.565,0.4702772954287605,0.09420853687346485,-0.4092872609717801
2.5675000000000003,0.47049564182859777,0.09432743537285897,-0.40833168767073763
2.5700000000000003,0.47071478335859573,0.09444684643953977,-0.40737383267819277
2.5725000000000002,0.4709347262369377,0.09456677430923738,-0.40641368051763654
2.575,0.4711554767582858,0.09468722327108857,-0.4054512155293732
2.5775,0.4713770412950758,0.09480819766855349,-0.40448642188439793
2.58,0.4715994262988377,0.09492970190035045,-0.40351928357884587
2.5825,0.47182263830154686,0.09505174042141283,-0.40254978440346084
2.585,0.4720466839170043,0.0951743177438666,-0.4015779079796777
2.5875000000000004,0.4722715698422465,0.09529743843802908,-0.40060363771243773
2.5900000000000003,0.4724973028589878,0.09542110713343063,-0.39962695683459776
2.5925000000000002,0.4727238898350923,0.0955453285198581,-0.3986478483652966
2.595,0.47295133772608117,0.09567010734842274,-0.39766629514326185
2.5975,0.4731796535766724,0.09579544843265185,-0.3966822797601965
2.6,0.4734088445223586,0.09592135664960687,-0.3956957846551478
2.6025,0.47363891779099915,0.09604783694101525,-0.3947067919951585
2.605,0.47386988070449443,0.09617489431445356,-0.39371528378351334
2.6075,0.4741017406804509,0.09630253384453161,-0.39272124176814577
2.6100000000000003,0.47433450523390963,0.09643076067411788,-0.39172464748882246
2.6125000000000003,0.4745681819791057,0.09655958001558879,-0.3907254822632655
2.615,0.4748027786312739,0.09668899715210952,-0.38972372717605
2.6175,0.4750383030084915,0.09681901743894289,-0.38871936304807336
2.62,0.47527476303356764,0.09694964630479048,-0.3877123705003926
2.6225,0.4755121667359751,0.09708088925316458,-0.38670272987650905
2.625,0.4757505222538279,0.09721275186379305,-0.3856904213034306
2.6275,0.4759898378359068,0.09734523979405801,-0.3846754246555894
