path	category	bytes	sha256
.gitignore	release_metadata	64	be6c37994d9b8db42c746e4272fff6236c6f21351959aca6c34e10a29ea8157e
.zenodo.json	release_metadata	1085	ca1ffc23d176ef3addc2d140fcb90ae46406875a87a76de96afb679062820cf0
AI_ASSISTANCE.md	release_metadata	696	c542ad79851900b620d175e66336d7de779698828b11f9a859a7dc5021e07d32
CITATION.cff	release_metadata	856	6f2152091f0788792d367bbf5517b614cd49aebee8824e962f2f8e8cf4883788
GITHUB_RELEASE_v1.0.0.md	release_metadata	935	1fab768b827619e49c727f1e8aa9f04d885c4f207e4177e0b39c8c71f9645b0c
LICENSE	release_metadata	1079	046e1b5d7017df32e9385a37f9ac813571f55c3e7814d4f439a490359a8fb07b
README.md	release_metadata	5383	403d9d443fadcff8838fc5952d89233d61d7e4598581bbcc1c5aa0bb03084113
RELEASE_CHECKLIST.md	release_metadata	2347	3652cb1b07297aec984227b0aa9336ff8321c154863ec1bf463647602dc53e95
THIRD_PARTY_NOTICES.md	release_metadata	693	5af54b0f9268f71dd927d9030ec8dcf1859ce7eb1b7f335154008a4aca0689cd
VALIDATION.md	release_metadata	3670	7efd1228e0076f1706d6645be6c092489a8faa8fb2b8619ed10a9732f07580f8
VERSION	release_metadata	6	59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03
code/BIOMD0000000190_url.xml	code_or_source_input	57595	e0087d22a559278e556941d4b95014f7c9ef45d642f848c3d1fbf8785fd3b83d
code/BIOMD0000000450_url.xml	code_or_source_input	384516	91cd6fc7f5c15626733f65b8e7215cfc724b45890a1a3d48e0c16b65fb9ef672
code/BIOMD0000000674_url.xml	code_or_source_input	425173	b91c6916e3c83834fdfd65cf94cb4861b4d30d8c8a64a149e6ee975f19c140d7
code/audit_BIOMD0000000190.py	code_or_source_input	8759	48475d08eabe0323f0fe474762363cde1017ad67e9325fc5e2b8ed3192ed7b15
code/audit_control_sweeps.py	code_or_source_input	3944	4b0e50b0f7ab5d9c0307218685cbe54dea090cea9ae5fd8fdc38ccb34f835644
code/cube_smooth_5.py	code_or_source_input	2249	3bbc196d63348a2eaea3af1a76e2f6d4f31cf1f540147bf93031ab02ee48d7f7
code/directional_skm_closure.py	code_or_source_input	16653	309d2e90046593ff9e4eee5b9090fa30f85d885e67f2cdd3d3d175faec5e92e7
code/dynamic_hysteresis_47d.py	code_or_source_input	4177	10a52dc7135e37befa40735f6bdc96994016bde9448e6c068a61432061e073c7
code/external_audit_checks.py	code_or_source_input	8775	2d96932c7d9b2db7536fd715566b451b4bd7c928888b2468201da26742e828b2
code/hface_stability.py	code_or_source_input	2118	a27e0990f0110a2baa26493e103fc87b6c51b047632a88d0e39623d971229544
code/homotopy_subset.py	code_or_source_input	2765	7682c2bcded7461716d6099aef88914d0cd5e07bd2cf1a4307a22c0e156d978f
code/make_v9_control_figures.py	code_or_source_input	2639	22a6cd6fd2de0f2f7b920c5e25174a64eb7206c12f8061184b1a99dda0711f2c
code/mat_control_gain_sweeps.py	code_or_source_input	5520	3632abe24ac8c8a43afc3e2f5c0a8186209173776a33b986465bbb4153e42bd7
code/mat_control_palc.py	code_or_source_input	3441	fbb60db310f24511f3b0b8c305112a5693a888fdd858e8c1274ff518a12a6252
code/palc47_full.py	code_or_source_input	6485	8414207c0f249e4251128602cdd16cba4d36b15905923cd1c31f2b16803fb796
code/reproduce_closures.py	code_or_source_input	1036	077530cf2449e9ebcb4219e7c688d93dcdb6f620e4bd68e60ab57cb6aced2d10
code/reproduce_substrate_inputs.py	code_or_source_input	1761	fb8bf07b53cc0f17e60b53f79640e9554a4b5299c73ec75db2c0f421a90bb33e
code/reproduce_v9_controls.py	code_or_source_input	1670	2b037ac7a2e9c93bec0b58fa439357305536d10c66161dde9cd47ba1cce3b714
code/sam_asymptotic_boundary.py	code_or_source_input	6101	5395fcab5b36b415f1e89fc13c27501ab8633918011b3577a54eac475f464d39
code/sbml_v1_v2_diff.py	code_or_source_input	4229	7f2b7492b1e3063cdd6a917fc9706c8ddcda13ea435efc7662cdcd429329d438
code/skm_BIOMD0000000190.py	code_or_source_input	8460	303038e586caf76d8ac48a96bc4873e2b062fe8ebe087f90e63a7b8a68ba04a0
code/slow_feedback_sensitivity.py	code_or_source_input	3906	2c18d6c514229255ead7cede85d9922732297045cd2fa637de810f7d6c9b23b0
